********************************************************************************
product = Open Liberty 20.0.0.11 (wlp-1.0.46.cl201120201014-1215)
wlp.install.dir = C:/Studia/Semestr7/NJEE/NJEE_Lab2/lab2/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-11.0.8
java.version = 11.0.8
java.runtime = Java(TM) SE Runtime Environment (11.0.8+10-LTS)
os = Windows 10 (10.0; amd64) (pl_PL)
process = 34604@DESKTOP-KMGPD7L
********************************************************************************
[05.11.2020, 22:16:52:403 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: Serwer defaultServer zosta³ uruchomiony.
[05.11.2020, 22:16:53:810 CET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: J¹dro zosta³o uruchomione po 6,157 sek. s
[05.11.2020, 22:16:53:871 CET] 00000022 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Uruchomiono aktualizacjê sk³adnika.
[05.11.2020, 22:16:55:024 CET] 00000018 .apache.cxf.cxf.core.3.2:1.0.46.cl201120201014-1215(id=142)] I Aries Blueprint packages not available. So namespaces will not be registered
[05.11.2020, 22:16:55:196 CET] 0000001a com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitorowanie aplikacji w katalogu dropins.
[05.11.2020, 22:17:00:583 CET] 0000002f com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Uruchamianie aplikacji Lab3-1.0-SNAPSHOT.
[05.11.2020, 22:17:00:584 CET] 0000002f bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: Aplikacja Lab3-1.0-SNAPSHOT u¿ywa luŸnej definicji aplikacji w po³o¿eniu C:\Studia\Semestr7\NJEE\NJEE_Lab2\lab2\target\liberty\wlp\usr\servers\defaultServer\dropins\Lab3-1.0-SNAPSHOT.war.xml.
[05.11.2020, 22:17:01:079 CET] 0000002f com.ibm.ws.session.WASSessionCore                            I SESN8501I: Mened¿er sesji nie znalaz³ po³o¿enia trwa³ej pamiêci masowej. Obiekty HttpSession bêd¹ zapisywane w pamiêci lokalnego serwera aplikacji.
[05.11.2020, 22:17:01:117 CET] 0000002f org.jboss.weld.Version                                       I WELD-000900: 3.1.4 (Final)
[05.11.2020, 22:17:01:914 CET] 0000002f org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[05.11.2020, 22:17:01:917 CET] 0000002f org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.cdi.JsfArtifactProducerExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[05.11.2020, 22:17:02:348 CET] 0000002f com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: £adowanie modu³u WWW: Lab3-1.0-SNAPSHOT.
[05.11.2020, 22:17:02:354 CET] 0000002f com.ibm.ws.webcontainer                                      I SRVE0250I: Modu³ WWW Lab3-1.0-SNAPSHOT zosta³ powi¹zany z hostem wirtualnym default_host.
[05.11.2020, 22:17:02:356 CET] 0000002f com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Dostêpna aplikacja WWW (default_host): http://localhost:9080/lab3/
[05.11.2020, 22:17:02:408 CET] 00000027 com.ibm.ws.session.WASSessionCore                            I SESN0176I: W odniesieniu do klucza aplikacji default_host/lab3 zostanie utworzony nowy kontekst sesji.
[05.11.2020, 22:17:02:422 CET] 00000027 com.ibm.ws.util                                              I SESN0172I: Mened¿er sesji korzysta przy generowaniu identyfikatora sesji z domyœlnej implementacji klasy SecureRandom jêzyka Java.
[05.11.2020, 22:17:02:534 CET] 00000027 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[05.11.2020, 22:17:02:786 CET] 00000034 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Automatycznie wygenerowano plik konfiguracyjny wtyczki serwera WWW dla tego serwera w katalogu C:\Studia\Semestr7\NJEE\NJEE_Lab2\lab2\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[05.11.2020, 22:17:02:805 CET] 00000027 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[05.11.2020, 22:17:03:005 CET] 00000027 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found javax.faces.application.ApplicationFactory factory implementation: com.ibm.ws.jsf.config.WASApplicationFactoryImpl
[05.11.2020, 22:17:03:112 CET] 00000027 org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[05.11.2020, 22:17:03:209 CET] 00000027 org.apache.myfaces.util.ExternalSpecifications               I MyFaces CDI support enabled
[05.11.2020, 22:17:03:214 CET] 00000027 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Bean Validation support disabled
[05.11.2020, 22:17:03:884 CET] 00000027 org.apache.myfaces.config.FacesConfigurator                  I Serialization provider : class org.apache.myfaces.shared_impl.util.serial.DefaultSerialFactory
[05.11.2020, 22:17:03:982 CET] 00000027 org.apache.myfaces.webapp.AbstractFacesInitializer           I ServletContext initialized.
[05.11.2020, 22:17:03:985 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I Tomahawk jar not available. Autoscrolling, DetectJavascript, AddResourceClass and CheckExtensionsFilter are disabled now.
[05.11.2020, 22:17:03:985 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.RESOURCE_EXCLUDES' found, using default value '.class .jsp .jspx .properties .xhtml .groovy'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.STATE_SAVING_METHOD' found, using default value 'server'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FULL_STATE_SAVING_VIEW_IDS' found.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.PARTIAL_STATE_SAVING' found, using default value 'true (false with 1.2 webapps)'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DEFAULT_SUFFIX' found, using default value '.xhtml .view.xml .jsp'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[05.11.2020, 22:17:03:986 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
[05.11.2020, 22:17:03:987 CET] 00000027 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DISABLE_FACELET_JSF_VIEWHANDLER' found.
